x,y
0.263181,0.666597
0.286880,0.664388
0.300213,0.662185
0.307743,0.660541
0.314704,0.659164
0.377720,0.654113
0.533226,0.636220
0.684252,0.619307
0.765373,0.610070
0.800492,0.605630
0.814812,0.602825
0.822098,0.601914
0.825389,0.600084
0.827090,0.598782
0.828853,0.598408
0.829453,0.597425
0.728422,0.687722
0.715785,0.628588
0.753959,0.682346
0.795099,0.668633
0.847809,0.646058
0.902601,0.623071
0.940773,0.609948
0.963720,0.600274
0.977920,0.595468
0.987234,0.593268
0.993266,0.592770
0.997294,0.592722
0.995054,0.601689
0.987473,0.619123
0.979074,0.638287
0.969864,0.655966
0.962221,0.673553
0.955567,0.686900
0.950528,0.698221
0.947116,0.705063
0.945802,0.715781
0.950342,0.737296
0.954193,0.757050
0.957884,0.771605
0.959638,0.781914
0.961451,0.790261
