x,y
-0.004433,0.047130
-0.003566,0.043831
-0.003112,0.040782
-0.002556,0.037746
-0.001928,0.035119
-0.001620,0.033275
-0.000903,0.032267
-0.000389,0.030797
-0.000286,0.029333
-0.000141,0.027463
0.000103,0.026124
-0.001355,0.024618
-0.003455,0.022815
-0.005462,0.021512
-0.007081,0.020691
-0.008316,0.019877
-0.009572,0.019019
-0.010869,0.018152
-0.011852,0.017862
-0.012726,0.018174
-0.011751,0.022009
-0.008853,0.031923
-0.004455,0.046574
-0.000611,0.061094
0.002431,0.073587
0.005288,0.083281
0.007425,0.082934
0.008102,0.077312
0.008647,0.073206
0.008909,0.070274
0.009070,0.068514
0.009018,0.066237
0.009067,0.063591
0.009100,0.060691
0.009155,0.058484
0.009158,0.056250
0.009648,0.053310
0.010062,0.051023
0.010050,0.046716
0.010098,0.041104
0.010180,0.036238
0.010635,0.031327
0.010536,0.028820
0.010474,0.026958
0.010307,0.024394
0.010810,0.022458
0.010615,0.021599
0.010558,0.021277
0.010744,0.021072
0.010865,0.021161
0.011094,0.021414
0.011402,0.021524
0.011488,0.021473
0.011667,0.021437
0.011791,0.021434
0.011957,0.021562
0.012098,0.021632
0.012207,0.021528
0.012207,0.021992
-0.010813,0.042789
-0.009902,0.041314
0.010509,0.038915
0.012092,0.037613
0.013472,0.036876
0.015063,0.036090
0.017109,0.034855
0.019259,0.033680
0.021768,0.032900
0.023915,0.031946
0.025469,0.031129
0.026783,0.030727
0.027724,0.030408
0.028581,0.030158
0.029542,0.030049
0.030382,0.029874
0.031005,0.029480
0.032994,0.031197
0.051863,0.039648
0.078524,0.052614
0.102542,0.063676
0.120756,0.071988
0.133196,0.076511
0.141351,0.079201
0.145572,0.080276
0.148344,0.079320
0.150131,0.079201
0.151109,0.079779
0.151688,0.081089
0.152211,0.081710
0.142539,0.100205
0.196741,0.116083
0.235383,0.121734
0.262950,0.099804
0.290053,0.097080
0.312309,0.096579
0.327543,0.095475
0.337784,0.093069
0.345224,0.091702
0.350387,0.090289
0.353974,0.089198
0.356050,0.087744
0.357707,0.085812
0.358999,0.084231
0.360116,0.084025
0.361070,0.084437
0.361595,0.084444
0.361989,0.083740
0.362189,0.082810
0.362387,0.082548
0.362559,0.082563
0.362540,0.082545
0.362538,0.082592
0.365044,0.082770
0.370108,0.084316
0.375265,0.087306
0.380489,0.090621
0.385085,0.092556
0.389026,0.093642
0.393275,0.098648
0.358744,0.114341
0.397555,0.095226
0.404658,0.091910
0.409748,0.089338
0.413748,0.088872
0.416574,0.090301
0.418858,0.090776
0.420818,0.091379
0.422293,0.091366
0.423724,0.091311
0.424808,0.091919
0.425590,0.092107
0.434868,0.092975
0.458895,0.094693
0.484630,0.096673
0.506053,0.097885
0.521721,0.097989
0.532255,0.098014
0.539108,0.097497
0.544122,0.098439
0.547223,0.098503
0.549405,0.097972
0.551033,0.097140
0.551975,0.096544
0.553113,0.098113
0.590888,0.098898
0.634423,0.116991
0.655845,0.103495
0.674234,0.089156
0.687386,0.078729
0.696702,0.070870
0.703316,0.066504
0.708839,0.064054
0.719301,0.062752
0.771092,0.063813
0.831818,0.062541
0.871457,0.060795
0.895711,0.058658
0.908431,0.058625
0.915829,0.058525
0.920454,0.058439
0.923820,0.057935
0.926005,0.057977
0.927517,0.057257
0.928340,0.056916
0.929014,0.057103
0.929516,0.057466
0.929493,0.057328
0.929315,0.056932
0.929645,0.056885
0.929893,0.057103
0.930215,0.056737
0.930472,0.056594
0.930520,0.056306
0.930732,0.056129
0.930903,0.056155
0.931155,0.056222
0.931396,0.056124
0.915050,0.081688
