Pos x,Pos y,Pos z,Rot x,Rot y,Rot z
-9.453275,34.524158,288.561157,0.007789,-0.029159,-0.030301
-9.561954,34.455772,287.668427,0.011453,-0.032383,-0.027351
-9.538962,34.454224,286.712341,0.010435,-0.036105,-0.027571
-9.593358,34.455643,285.924683,0.011379,-0.039403,-0.026725
-9.551996,34.533520,285.315430,0.009752,-0.037673,-0.030624
-9.707605,34.588779,284.883942,0.012734,-0.040212,-0.028238
-9.786693,34.717731,284.418213,0.009635,-0.037478,-0.028679
-9.940722,35.248447,285.173126,0.018395,-0.036836,-0.028351
-10.126396,35.621742,285.641418,0.030073,-0.036593,-0.026359
-10.174294,35.742714,285.489380,0.030835,-0.039897,-0.027045
-10.298038,35.919182,285.695923,0.034766,-0.038420,-0.028292
-10.306114,36.146622,285.920197,0.042240,-0.037245,-0.027583
-10.451680,36.272636,286.055237,0.046616,-0.038724,-0.026419
-10.536483,36.200493,285.798279,0.049692,-0.040041,-0.025831
-10.535679,36.011497,285.508789,0.046922,-0.040112,-0.026917
-10.613625,35.834087,284.872620,0.047439,-0.042885,-0.024878
-10.677504,35.870644,285.119080,0.050032,-0.040752,-0.024288
-10.695984,35.828461,284.697144,0.050513,-0.041227,-0.023715
-10.583146,35.570625,284.525879,0.049317,-0.041908,-0.026318
-10.549780,35.511070,284.200775,0.039150,-0.042629,-0.028670
-10.568690,35.708725,284.188293,0.038772,-0.043297,-0.027635
-10.429099,35.332325,283.309326,0.033657,-0.041694,-0.026562
-10.317004,35.384155,283.229309,0.035031,-0.042138,-0.027630
-10.287786,35.505363,283.283508,0.033150,-0.041410,-0.029635
-10.153099,35.374264,282.979645,0.032708,-0.041179,-0.031252
-10.052735,35.340755,282.675659,0.030625,-0.040592,-0.032495
-9.903592,35.117271,282.136688,0.028595,-0.041000,-0.034145
-9.752171,34.788513,281.281006,0.022461,-0.041812,-0.033450
-9.632850,34.545353,280.897156,0.017767,-0.041541,-0.032309
-9.620055,34.400021,280.797974,0.019296,-0.037786,-0.031038
-9.329469,34.050282,279.989380,0.019133,-0.039102,-0.031356
-9.309085,34.255157,280.022705,0.020895,-0.038268,-0.031279
-9.224689,34.144058,279.601135,0.020725,-0.037077,-0.030441
-8.963232,34.041645,279.411652,0.028702,-0.039061,-0.030432
-8.758022,33.731483,278.705750,0.029811,-0.041482,-0.031593
-8.734957,33.654972,278.596252,0.034706,-0.044352,-0.031425
-8.551613,33.358490,277.925323,0.036268,-0.045091,-0.031199
-8.537783,33.537334,278.095093,0.033218,-0.043947,-0.031232
-8.388457,33.228065,277.671936,0.035170,-0.046009,-0.031045
-8.299561,33.244549,277.753418,0.037782,-0.048962,-0.031108
-8.317875,33.265465,277.583496,0.034233,-0.048292,-0.031826
-8.150868,33.148952,277.362061,0.034298,-0.048532,-0.032428
-7.967322,32.990059,277.186401,0.035223,-0.049509,-0.033322
-7.833120,32.999489,277.411652,0.037847,-0.050125,-0.034178
-7.636758,32.897797,277.326263,0.037842,-0.050676,-0.035490
-7.534162,33.033531,277.704254,0.043201,-0.051960,-0.035674
-7.637138,33.233284,277.676178,0.036021,-0.050618,-0.032972
-7.492481,32.937141,277.963196,0.037385,-0.049845,-0.033651
-7.368793,32.694614,278.583679,0.043688,-0.049571,-0.033408
-6.938750,32.269855,278.357056,0.044693,-0.050468,-0.034195
-6.722389,32.229843,278.587189,0.043270,-0.050659,-0.036364
-6.362833,32.409218,278.728241,0.036866,-0.053974,-0.039242
-6.374650,32.599895,278.740723,0.030107,-0.052132,-0.037124
-6.011210,32.559422,278.711609,0.029802,-0.053234,-0.040536
-5.696528,32.666874,278.946045,0.029914,-0.054316,-0.043009
-5.659132,32.908138,279.325592,0.029855,-0.053867,-0.043043
-5.608626,33.086826,279.575745,0.029386,-0.053898,-0.042210
-5.501554,33.283413,279.694855,0.027029,-0.054767,-0.041808
-5.338610,33.335453,279.761871,0.027595,-0.056558,-0.041723
-5.149708,33.406574,279.837097,0.026527,-0.058738,-0.041490
-4.687394,33.508770,280.256775,0.026822,-0.061828,-0.046214
-4.660440,33.683212,280.569183,0.028702,-0.060704,-0.044655
-4.278818,33.828621,280.624573,0.021592,-0.064369,-0.046946
-4.043684,33.862015,280.589294,0.021806,-0.065317,-0.048413
-3.839027,34.064880,280.989258,0.021907,-0.067487,-0.051067
-3.894677,34.170944,281.161377,0.024862,-0.066848,-0.048696
-3.611994,34.338821,281.387756,0.022695,-0.070043,-0.051676
-3.565371,34.309521,281.473816,0.023742,-0.069661,-0.049586
-3.491657,34.281761,281.211426,0.020627,-0.069804,-0.049623
-3.245506,34.436592,281.371460,0.018588,-0.072589,-0.054019
-3.400802,34.584789,281.729034,0.020477,-0.067576,-0.049877
-3.459678,34.761086,282.119537,0.022199,-0.065612,-0.049044
-3.470921,34.796497,282.254395,0.025463,-0.065628,-0.047891
-3.354494,34.800041,282.231567,0.026398,-0.066430,-0.048104
-3.369720,35.017624,282.696320,0.028764,-0.065747,-0.048607
-3.370298,35.074848,282.904358,0.031810,-0.066042,-0.048053
-3.266507,35.090572,282.988098,0.030028,-0.066856,-0.047778
-3.270319,35.217808,283.434113,0.035563,-0.067245,-0.047654
-2.977707,35.239868,283.561188,0.037925,-0.070654,-0.052423
-2.942278,35.206497,283.735229,0.040158,-0.070594,-0.052076
-2.769893,35.277893,283.896301,0.037174,-0.071513,-0.054773
-2.659742,35.295105,284.136536,0.037570,-0.071484,-0.055048
-2.591091,35.359428,284.267792,0.036834,-0.072124,-0.054725
-2.393201,35.349918,284.621185,0.037782,-0.071966,-0.054463
-2.243971,35.237240,284.718964,0.040200,-0.070890,-0.053112
-2.005043,35.277931,284.844086,0.040441,-0.072294,-0.054740
-1.676176,35.222301,285.027069,0.039271,-0.072713,-0.055209
